Qty,Value,Device,Package,Parts,Description,PROD_ID,VALUE
6,,C-USC0603,C0603,"C3, C4, C5, C6, C7, C8","CAPACITOR, American symbol",,
3,,LEDCHIPLED_0805,CHIPLED_0805,"LED1, LED2, LED3",LED,,
1,,PINHD-1X3,1X03,JP4,PIN HEADER,,
2,100k,RESISTOR0603-RES,0603-RES,"R11, R12",Resistor,,
7,10k,RESISTOR0603-RES,0603-RES,"R1, R5, R6, R7, R8, R9, R10",Resistor,,
1,1445055-3,1445055-3,1445055-3,REMOTE_SENS,Micro MATE-N-LOK Connectors grid 1.5 mm,,
1,16MHz,CRYSTALHC49US,HC49US,Y1,Various standard crystals. Proven footprints.,,
3,1k,RESISTOR0603-RES,0603-RES,"R2, R3, R4",Resistor,,
2,22pF,C-USC0603K,C0603K,"C1, C2","CAPACITOR, American symbol",,
1,ATMEGA328P_TQFP,ATMEGA328P_TQFP,TQFP32-08,U1,,IC-09069,ATMEGA328P_TQFP
1,AVRISP-BOX,AVRISP-BOX,AVRISP-BOX,ISP1,AVR ISP HEADER,,
2,EG4621CT-ND,EG4621CT-ND,EG4621CT-ND,"U$2, U$10",surface mount push putton digikey number EG4621CT-ND,,
1,FCC,ETHERNET,A122645-ND,ETH1,Ethernet port with 2 leds. digikey number A122645-ND,,
1,FTDI_DEVICE,FTDI_DEVICE,FTDI_DEVICE_SIDE,JP6,Connector which mates to FTDI basic or FTDI cable.,,
4,MOUNT-PAD-ROUND3.6,MOUNT-PAD-ROUND3.6,"3,6-PAD","H1, H2, H3, H4","MOUNTING PAD, round",,
1,MQ-8MQ-8,MQ-8MQ-8,MQ-8,U$1,,,
2,TE770966,TE770966,2X1-MATE-N-LOCK,"U$3, U$9",,,
